Workcentre,FMZ,Grade,Extreme,High,Low,Moderate,Very_High
BEN,APZ,A,25.187337584397216,10.077343998692015,192.67320536251256,309.1785846746656,0.0
BEN,APZ,B,77.9316667083886,121.5532163926739,6.775131955892294,857.4421093272349,0.0
BEN,APZ,C,0.0,6.109807818630563,0.0,59.480796258987226,0.0
BEN,APZ,D,0.0,35.894746162260525,0.0,43.37081527733221,0.0
BEN,APZ,E,98.58921888925764,328.80795851733404,0.7884780870753904,492.3396144446389,0.0
BEN,BMZ,A,373.29419095635825,631.5909959075076,15.524200081616181,2242.3010199967393,0.7491539284584205
BEN,BMZ,B,463.00323256243973,563.5496490587444,76.86640388923469,2080.2628654103537,16.135984145285448
BEN,BMZ,C,171.1966618421079,35.46706436242452,27.050032108176158,245.93244650392703,0.0
BEN,BMZ,D,0.0,17.077044711795512,0.0,0.0,0.0
BEN,BMZ,E,403.7971286139142,1010.7984530436456,0.8952983663404998,350.7280327649103,120.71567270839823
CAS,APZ,A,187.3253812327325,7.406076651341313,0.0,36.9993166534716,0.0
CAS,APZ,B,197.5471479580662,8.18008591880269,0.0,147.90751465404932,0.0
CAS,APZ,C,177.51678765739837,10.007468649442048,0.0,24.517703374994916,0.0
CAS,APZ,E,211.93235925261467,183.1103894516215,0.11656718651548972,117.2380251571787,0.0
CAS,BMZ,A,798.0098299588622,560.7188053133874,11.112463606010529,362.2809462775771,0.0
CAS,BMZ,B,1243.5962093913881,759.1540730034111,63.788794578695786,1526.9972758054341,0.0
CAS,BMZ,C,1437.1089421657537,194.71921478353812,0.0324725459995801,128.69422788813912,0.0
CAS,BMZ,E,794.8571993326491,478.7647793616475,1.0853595303865098,239.51179506408775,0.0
COH,APZ,E,23.612840523137425,5.463582832793923,0.0,7.732275692162653,0.0
COH,BMZ,E,104.47454346016727,506.70837300840367,0.0,9.804556615878798,0.0
HTH,APZ,A,0.6626638976061243,134.1742619175426,0.0,52.56588113272799,0.0
HTH,APZ,B,1.519264738466598,106.88845878480076,0.0,31.927633471896158,0.0
HTH,APZ,D,0.0,129.89392347604635,0.0,0.32227019549693614,0.0
HTH,APZ,E,1.6347215982928847,33.7173342488369,0.0,1.477075733245229,0.0
HTH,BMZ,A,874.8018192674017,118.36286994196142,0.0,315.80214008071454,0.0
HTH,BMZ,B,37.838072808715275,14.754059217218485,0.0,537.0500664710346,0.0
HTH,BMZ,C,0.0,38.046369497860404,0.0,0.23303826760896934,0.0
HTH,BMZ,D,146.74476559928556,13.377413260911595,0.0,5.740637771752198,0.0
HTH,BMZ,E,58.696191159761014,50.11137645098319,0.0,37.477859536113726,0.0
ING,APZ,A,117.11214088007178,1.9831045250483745,0.0,67.70362201029575,0.0
ING,APZ,B,102.7567151075949,2.167567709723816,0.0,67.2566191960088,1.0911464352181897
ING,APZ,D,8.719737274070132,4.599570018510251,0.0,8.195903059938132,0.0
ING,APZ,E,81.49818628281419,34.838042066988685,0.0,11.08080960246503,0.00032539579057170253
ING,BMZ,A,1044.0748255156607,9.89506846122911,0.0,351.0457216631368,51.221358415794555
ING,BMZ,B,414.64256677292724,196.23588549369975,0.0,405.737865444484,54.88791634629337
ING,BMZ,C,497.76602961476,112.50440797916922,0.0,80.90597903040386,42.176160537844055
ING,BMZ,E,131.45697062565776,136.83117958634537,0.0,56.67816086225257,0.9857045105318876
MAC,APZ,A,25.863171219682172,28.813089821485544,0.0,88.64978769447286,0.0
MAC,APZ,B,9.84614486199036,0.0,0.0,7.36415214355376,0.0
MAC,APZ,C,98.27712721664115,0.3882123769325387,0.0,0.0,0.0
MAC,APZ,D,5.191444246794807,0.0005396833226037211,0.0,0.0,0.0
MAC,APZ,E,15.658965976458244,1.5039342665303654,0.0,8.829781611132653,0.0
MAC,BMZ,A,391.23125477267007,95.59932174098485,0.0,53.452331488327125,0.0
MAC,BMZ,B,549.046952893699,8.214037557132574,97.41984290952031,135.0106450366989,0.0
MAC,BMZ,C,168.8613496737407,0.0,0.0,7.537369219930862,0.0
MAC,BMZ,D,7.1942194865557125,0.41917939432642765,0.0,29.642766134749603,0.0
MAC,BMZ,E,48.56680115952436,0.13522161823940196,0.0,17.069984545746696,0.0
MRY,APZ,A,257.814994249089,27.694355552861058,33.84538630605371,433.7453512959017,0.0
MRY,APZ,B,5.7901776057871635,54.80926787911946,2.3892473040042943,707.9499482518221,0.0
MRY,APZ,D,0.0,12.572402769242531,0.0,0.0,0.0
MRY,APZ,E,13.379082547524868,86.28994768753523,0.06872716647931947,186.62159997843,0.0
MRY,BMZ,A,1564.7537365983926,730.2618102353307,44.87464644266197,3647.081411078441,14.79569046691191
MRY,BMZ,B,3521.39042949371,1018.4085588721239,422.53720449610717,5805.868285997042,0.0
MRY,BMZ,C,1246.8531436867333,12.819073554020678,13.469398137490995,78.99319169505806,0.0
MRY,BMZ,D,614.2709403330887,6.131087487191236,0.0,26.26998674064583,0.0
MRY,BMZ,E,176.2642532216636,354.39809351148625,3.620587399556701,1039.827133186509,0.0
RSH,APZ,A,19.410034779864848,2.6878412072983777,0.0,92.38631253927832,0.0
RSH,APZ,B,13.659104310975017,0.19934553131736374,0.0,60.2474586566126,0.0
RSH,APZ,C,0.0,0.0,0.0,0.8021692563905798,0.0
RSH,APZ,D,1.881574230453522,0.0,0.0,1.024715227104518,0.0
RSH,APZ,E,5.864705587550477,8.384032788327314,0.0,32.85702908592244,0.0
RSH,BMZ,A,68.03117636532237,182.8682348264887,0.0,919.2830395386455,0.0
