Workcentre,Strategic_Area_Ha,Below_Threshold_Ha,At_Trigger_Ha,Above_Threshold_Ha
BEN,11513.135562422352,7001.609034509636,2760.926279973709,1750.6002479390056
CAS,9910.237212405198,2660.2824623225406,2202.0608931331917,5047.893856949465
COH,657.7961721325437,17.53683230804145,512.1719558411976,128.0873839833047
HTH,2743.820168526281,982.5966026605903,639.3260667961616,1121.8974990695292
ING,4096.0492904247285,1048.6046808689848,499.0548258407146,2548.3897837150294
MAC,1899.7876287508436,444.9766607841328,135.0735364589543,1319.7374315077566
MRY,22165.859151228018,12447.162105476204,2303.384597548911,7415.312448202902
RSH,2027.26417813776,1531.9706368302932,342.2332735893375,153.06026771812935
STA,5781.173441857613,978.6564616061298,786.523905713888,4015.9930745375955
