burn_name,risk
stuart_mill_rostron_stuart_mill_rd,0
kooyoora_ddw_wehla_kingower_rd,0
whipstick_ddw_brights_lane,0
archdale_ddw_archdale_ssr,0
whipstick_ddw_evans_rd,0
whipstick_wallenjoe_rd,0
sedgwick_wiener_tk,0
kara_kara_np_centre_rd,0
mandurang_connellys_rd,0
big_hill_sandhurst_reservoir_rd,0
tooborac_tooborac_sf,0
waanyarra_aussie_tk,0
rushworth_pyle_rd,0
whipstick_ddw_nuggety_rd,0
campbells_creek_spring_gully_rd,0
redbank_the_punchbowl,0
percydale_sardine_trk,0
heathcote_spring_flat_rd,0
newstead_pyrenees_hwy,0
one_eye_sf_mcivor_hwy,0
inglewood_lamprells_rd,0
amphitheatre_rayners_tk,0
drummond_north_old_hunters_lane,0
fryerstown_dry_diggings_tk,0
fryerstown_spring_creek_rd,0
maiden_gully_stumpy_gully_tk,0
irishtown_dry_diggings_trk,0
chewton_railway_dam_rd,0
castlemaine_ashbys_tk_fire_investigation_training,0
barkers_creek_blakeley_rd,0
chewton_crocodile_reservoir_tk,0
fryerstown_white_quartz_rd,0
macedon_mt_macedon,0
dattuck_bushland_reserve,0
big_desert_sf_danyo_boundary,0
big_desert_wilderness_park_a3,0
murray_sunset_np_border_track_south,0
wyperfeld_archibald_track_corridor,0
nyah_nyah_airfield,0
big_desert_wp_strategic_corridor_south,0
big_desert_wilderness_park_b3,0
irishtown_devil_tk,0
fryerstown_sugar_bag_tk,0
lauriston_lauriston_rd,0
taradale_vals_trk,0
drummond_north_swanky_gully_tk,0
mount_macedon_hemphills_tk,0
